number of machines,solver,mean,std,rank
4,IHS,0.6901336,0.011461340664260142,6.0
4,MHACO,0.7553149,0.01853119275677877,4.0
4,MOEA/D-DE,0.8751133,0.02023211064976767,3.0
4,NS-BRKGA,0.899966,0.011213006931436587,2.0
4,NSGA-II,0.9115939000000001,0.016134252545783195,1.0
4,NSPSO,0.754243,0.014198643651967463,5.0
5,IHS,0.6809605999999999,0.02269250226605111,6.0
5,MHACO,0.7421926,0.023397872299578213,5.0
5,MOEA/D-DE,0.8548785999999999,0.03591296813042393,2.0
5,NS-BRKGA,0.8532698999999999,0.023724398853012984,3.0
5,NSGA-II,0.90615095,0.016321389767563817,1.0
5,NSPSO,0.7433252,0.019494251664475208,4.0
6,IHS,0.7755373999999999,0.024461070976252528,6.0
6,MHACO,0.81533955,0.039217244511855154,4.0
6,MOEA/D-DE,0.79490125,0.02646745474783981,5.0
6,NS-BRKGA,0.87702355,0.01922858063972538,2.0
6,NSGA-II,0.90665905,0.016241793294412398,1.0
6,NSPSO,0.83217705,0.028415850894351172,3.0
8,IHS,0.66553205,0.017405333458076575,6.0
8,MHACO,0.74971305,0.036786091329647386,5.0
8,MOEA/D-DE,0.8458726000000001,0.018563361039820814,3.0
8,NS-BRKGA,0.86062215,0.018889115939511744,2.0
8,NSGA-II,0.9097872499999999,0.015111378396409565,1.0
8,NSPSO,0.7649733,0.04154946000041777,4.0
10,IHS,0.671143275,0.03560778958209054,6.0
10,MHACO,0.742020825,0.02652859279506809,4.0
10,MOEA/D-DE,0.86806495,0.04067537103226988,2.0
10,NS-BRKGA,0.843807175,0.040368987974642036,3.0
10,NSGA-II,0.9082042250000001,0.019465260266838667,1.0
10,NSPSO,0.7246236500000001,0.028821150854750847,5.0
15,IHS,0.619892525,0.02444741759629354,6.0
15,MHACO,0.6896117,0.022239535228725946,4.0
15,MOEA/D-DE,0.8056436,0.07849418033818886,2.0
15,NS-BRKGA,0.79668945,0.06433756047555855,3.0
15,NSGA-II,0.8875381250000001,0.03199916345636319,1.0
15,NSPSO,0.6797605,0.01886054607660373,5.0
