problem,instance,number of objectives,chromosome size,solver,seed,metric name,metric value
MOFJSSP,mk01,4,110,NSGA-II,305089489,Hypervolume Ratio,0.94849
MOFJSSP,mk01,4,110,NSGA-II,511812191,Hypervolume Ratio,0.951047
MOFJSSP,mk01,4,110,NSGA-II,608055156,Hypervolume Ratio,0.943639
MOFJSSP,mk01,4,110,NSGA-II,467424509,Hypervolume Ratio,0.950396
MOFJSSP,mk01,4,110,NSGA-II,944441939,Hypervolume Ratio,0.945703
MOFJSSP,mk01,4,110,NSGA-II,414977408,Hypervolume Ratio,0.951094
MOFJSSP,mk01,4,110,NSGA-II,819312498,Hypervolume Ratio,0.950473
MOFJSSP,mk01,4,110,NSGA-II,562386085,Hypervolume Ratio,0.949204
MOFJSSP,mk01,4,110,NSGA-II,287613914,Hypervolume Ratio,0.945417
MOFJSSP,mk01,4,110,NSGA-II,755772793,Hypervolume Ratio,0.942869
MOFJSSP,mk01,4,110,NSPSO,305089489,Hypervolume Ratio,0.93417
MOFJSSP,mk01,4,110,NSPSO,511812191,Hypervolume Ratio,0.934403
MOFJSSP,mk01,4,110,NSPSO,608055156,Hypervolume Ratio,0.931443
MOFJSSP,mk01,4,110,NSPSO,467424509,Hypervolume Ratio,0.939338
MOFJSSP,mk01,4,110,NSPSO,944441939,Hypervolume Ratio,0.933621
MOFJSSP,mk01,4,110,NSPSO,414977408,Hypervolume Ratio,0.931871
MOFJSSP,mk01,4,110,NSPSO,819312498,Hypervolume Ratio,0.935546
MOFJSSP,mk01,4,110,NSPSO,562386085,Hypervolume Ratio,0.93044
MOFJSSP,mk01,4,110,NSPSO,287613914,Hypervolume Ratio,0.940403
MOFJSSP,mk01,4,110,NSPSO,755772793,Hypervolume Ratio,0.93717
MOFJSSP,mk01,4,110,MOEA/D-DE,305089489,Hypervolume Ratio,0.897067
MOFJSSP,mk01,4,110,MOEA/D-DE,511812191,Hypervolume Ratio,0.885859
MOFJSSP,mk01,4,110,MOEA/D-DE,608055156,Hypervolume Ratio,0.852342
MOFJSSP,mk01,4,110,MOEA/D-DE,467424509,Hypervolume Ratio,0.864429
MOFJSSP,mk01,4,110,MOEA/D-DE,944441939,Hypervolume Ratio,0.874899
MOFJSSP,mk01,4,110,MOEA/D-DE,414977408,Hypervolume Ratio,0.875623
MOFJSSP,mk01,4,110,MOEA/D-DE,819312498,Hypervolume Ratio,0.907944
MOFJSSP,mk01,4,110,MOEA/D-DE,562386085,Hypervolume Ratio,0.904907
MOFJSSP,mk01,4,110,MOEA/D-DE,287613914,Hypervolume Ratio,0.858974
MOFJSSP,mk01,4,110,MOEA/D-DE,755772793,Hypervolume Ratio,0.851183
MOFJSSP,mk01,4,110,MHACO,305089489,Hypervolume Ratio,0.924417
MOFJSSP,mk01,4,110,MHACO,511812191,Hypervolume Ratio,0.92373
MOFJSSP,mk01,4,110,MHACO,608055156,Hypervolume Ratio,0.927463
MOFJSSP,mk01,4,110,MHACO,467424509,Hypervolume Ratio,0.928089
MOFJSSP,mk01,4,110,MHACO,944441939,Hypervolume Ratio,0.92788
MOFJSSP,mk01,4,110,MHACO,414977408,Hypervolume Ratio,0.922003
MOFJSSP,mk01,4,110,MHACO,819312498,Hypervolume Ratio,0.927754
MOFJSSP,mk01,4,110,MHACO,562386085,Hypervolume Ratio,0.934225
MOFJSSP,mk01,4,110,MHACO,287613914,Hypervolume Ratio,0.914507
MOFJSSP,mk01,4,110,MHACO,755772793,Hypervolume Ratio,0.926878
MOFJSSP,mk01,4,110,IHS,305089489,Hypervolume Ratio,0.928084
MOFJSSP,mk01,4,110,IHS,511812191,Hypervolume Ratio,0.927008
MOFJSSP,mk01,4,110,IHS,608055156,Hypervolume Ratio,0.923358
MOFJSSP,mk01,4,110,IHS,467424509,Hypervolume Ratio,0.924993
MOFJSSP,mk01,4,110,IHS,944441939,Hypervolume Ratio,0.930629
MOFJSSP,mk01,4,110,IHS,414977408,Hypervolume Ratio,0.925707
MOFJSSP,mk01,4,110,IHS,819312498,Hypervolume Ratio,0.927127
MOFJSSP,mk01,4,110,IHS,562386085,Hypervolume Ratio,0.930281
MOFJSSP,mk01,4,110,IHS,287613914,Hypervolume Ratio,0.932285
MOFJSSP,mk01,4,110,IHS,755772793,Hypervolume Ratio,0.924628
MOFJSSP,mk01,4,110,NS-BRKGA,305089489,Hypervolume Ratio,0.940259
MOFJSSP,mk01,4,110,NS-BRKGA,511812191,Hypervolume Ratio,0.948404
MOFJSSP,mk01,4,110,NS-BRKGA,608055156,Hypervolume Ratio,0.942649
MOFJSSP,mk01,4,110,NS-BRKGA,467424509,Hypervolume Ratio,0.95069
MOFJSSP,mk01,4,110,NS-BRKGA,944441939,Hypervolume Ratio,0.942727
MOFJSSP,mk01,4,110,NS-BRKGA,414977408,Hypervolume Ratio,0.945639
MOFJSSP,mk01,4,110,NS-BRKGA,819312498,Hypervolume Ratio,0.944902
MOFJSSP,mk01,4,110,NS-BRKGA,562386085,Hypervolume Ratio,0.94524
MOFJSSP,mk01,4,110,NS-BRKGA,287613914,Hypervolume Ratio,0.944047
MOFJSSP,mk01,4,110,NS-BRKGA,755772793,Hypervolume Ratio,0.942935
MOFJSSP,mk02,4,116,NSGA-II,305089489,Hypervolume Ratio,0.959223
MOFJSSP,mk02,4,116,NSGA-II,511812191,Hypervolume Ratio,0.970915
MOFJSSP,mk02,4,116,NSGA-II,608055156,Hypervolume Ratio,0.963071
MOFJSSP,mk02,4,116,NSGA-II,467424509,Hypervolume Ratio,0.96621
MOFJSSP,mk02,4,116,NSGA-II,944441939,Hypervolume Ratio,0.96846
MOFJSSP,mk02,4,116,NSGA-II,414977408,Hypervolume Ratio,0.963989
MOFJSSP,mk02,4,116,NSGA-II,819312498,Hypervolume Ratio,0.958687
MOFJSSP,mk02,4,116,NSGA-II,562386085,Hypervolume Ratio,0.970091
MOFJSSP,mk02,4,116,NSGA-II,287613914,Hypervolume Ratio,0.961276
MOFJSSP,mk02,4,116,NSGA-II,755772793,Hypervolume Ratio,0.975373
MOFJSSP,mk02,4,116,NSPSO,305089489,Hypervolume Ratio,0.932526
MOFJSSP,mk02,4,116,NSPSO,511812191,Hypervolume Ratio,0.938475
MOFJSSP,mk02,4,116,NSPSO,608055156,Hypervolume Ratio,0.947016
MOFJSSP,mk02,4,116,NSPSO,467424509,Hypervolume Ratio,0.941887
MOFJSSP,mk02,4,116,NSPSO,944441939,Hypervolume Ratio,0.934155
MOFJSSP,mk02,4,116,NSPSO,414977408,Hypervolume Ratio,0.94213
MOFJSSP,mk02,4,116,NSPSO,819312498,Hypervolume Ratio,0.933897
MOFJSSP,mk02,4,116,NSPSO,562386085,Hypervolume Ratio,0.941767
MOFJSSP,mk02,4,116,NSPSO,287613914,Hypervolume Ratio,0.927407
MOFJSSP,mk02,4,116,NSPSO,755772793,Hypervolume Ratio,0.918956
MOFJSSP,mk02,4,116,MOEA/D-DE,305089489,Hypervolume Ratio,0.89382
MOFJSSP,mk02,4,116,MOEA/D-DE,511812191,Hypervolume Ratio,0.922895
MOFJSSP,mk02,4,116,MOEA/D-DE,608055156,Hypervolume Ratio,0.902304
MOFJSSP,mk02,4,116,MOEA/D-DE,467424509,Hypervolume Ratio,0.920225
MOFJSSP,mk02,4,116,MOEA/D-DE,944441939,Hypervolume Ratio,0.900185
MOFJSSP,mk02,4,116,MOEA/D-DE,414977408,Hypervolume Ratio,0.912733
MOFJSSP,mk02,4,116,MOEA/D-DE,819312498,Hypervolume Ratio,0.906933
MOFJSSP,mk02,4,116,MOEA/D-DE,562386085,Hypervolume Ratio,0.936854
MOFJSSP,mk02,4,116,MOEA/D-DE,287613914,Hypervolume Ratio,0.916674
MOFJSSP,mk02,4,116,MOEA/D-DE,755772793,Hypervolume Ratio,0.908584
MOFJSSP,mk02,4,116,MHACO,305089489,Hypervolume Ratio,0.905592
MOFJSSP,mk02,4,116,MHACO,511812191,Hypervolume Ratio,0.911472
MOFJSSP,mk02,4,116,MHACO,608055156,Hypervolume Ratio,0.924831
MOFJSSP,mk02,4,116,MHACO,467424509,Hypervolume Ratio,0.920592
MOFJSSP,mk02,4,116,MHACO,944441939,Hypervolume Ratio,0.889709
MOFJSSP,mk02,4,116,MHACO,414977408,Hypervolume Ratio,0.922206
MOFJSSP,mk02,4,116,MHACO,819312498,Hypervolume Ratio,0.920626
MOFJSSP,mk02,4,116,MHACO,562386085,Hypervolume Ratio,0.914197
MOFJSSP,mk02,4,116,MHACO,287613914,Hypervolume Ratio,0.911526
MOFJSSP,mk02,4,116,MHACO,755772793,Hypervolume Ratio,0.914735
MOFJSSP,mk02,4,116,IHS,305089489,Hypervolume Ratio,0.946293
MOFJSSP,mk02,4,116,IHS,511812191,Hypervolume Ratio,0.935098
MOFJSSP,mk02,4,116,IHS,608055156,Hypervolume Ratio,0.942236
MOFJSSP,mk02,4,116,IHS,467424509,Hypervolume Ratio,0.934438
MOFJSSP,mk02,4,116,IHS,944441939,Hypervolume Ratio,0.920203
MOFJSSP,mk02,4,116,IHS,414977408,Hypervolume Ratio,0.942223
MOFJSSP,mk02,4,116,IHS,819312498,Hypervolume Ratio,0.937145
MOFJSSP,mk02,4,116,IHS,562386085,Hypervolume Ratio,0.933444
MOFJSSP,mk02,4,116,IHS,287613914,Hypervolume Ratio,0.934007
MOFJSSP,mk02,4,116,IHS,755772793,Hypervolume Ratio,0.937048
MOFJSSP,mk02,4,116,NS-BRKGA,305089489,Hypervolume Ratio,0.959236
MOFJSSP,mk02,4,116,NS-BRKGA,511812191,Hypervolume Ratio,0.959519
MOFJSSP,mk02,4,116,NS-BRKGA,608055156,Hypervolume Ratio,0.959437
MOFJSSP,mk02,4,116,NS-BRKGA,467424509,Hypervolume Ratio,0.961005
MOFJSSP,mk02,4,116,NS-BRKGA,944441939,Hypervolume Ratio,0.954683
MOFJSSP,mk02,4,116,NS-BRKGA,414977408,Hypervolume Ratio,0.959663
MOFJSSP,mk02,4,116,NS-BRKGA,819312498,Hypervolume Ratio,0.95544
MOFJSSP,mk02,4,116,NS-BRKGA,562386085,Hypervolume Ratio,0.95976
MOFJSSP,mk02,4,116,NS-BRKGA,287613914,Hypervolume Ratio,0.958595
MOFJSSP,mk02,4,116,NS-BRKGA,755772793,Hypervolume Ratio,0.959741
MOFJSSP,mk03,4,300,NSGA-II,305089489,Hypervolume Ratio,0.964721
MOFJSSP,mk03,4,300,NSGA-II,511812191,Hypervolume Ratio,0.96575
MOFJSSP,mk03,4,300,NSGA-II,608055156,Hypervolume Ratio,0.964768
MOFJSSP,mk03,4,300,NSGA-II,467424509,Hypervolume Ratio,0.966234
MOFJSSP,mk03,4,300,NSGA-II,944441939,Hypervolume Ratio,0.966144
MOFJSSP,mk03,4,300,NSGA-II,414977408,Hypervolume Ratio,0.962909
MOFJSSP,mk03,4,300,NSGA-II,819312498,Hypervolume Ratio,0.966322
MOFJSSP,mk03,4,300,NSGA-II,562386085,Hypervolume Ratio,0.966961
MOFJSSP,mk03,4,300,NSGA-II,287613914,Hypervolume Ratio,0.964551
MOFJSSP,mk03,4,300,NSGA-II,755772793,Hypervolume Ratio,0.965798
MOFJSSP,mk03,4,300,NSPSO,305089489,Hypervolume Ratio,0.947531
MOFJSSP,mk03,4,300,NSPSO,511812191,Hypervolume Ratio,0.944492
MOFJSSP,mk03,4,300,NSPSO,608055156,Hypervolume Ratio,0.9408
MOFJSSP,mk03,4,300,NSPSO,467424509,Hypervolume Ratio,0.947793
MOFJSSP,mk03,4,300,NSPSO,944441939,Hypervolume Ratio,0.948405
MOFJSSP,mk03,4,300,NSPSO,414977408,Hypervolume Ratio,0.938531
MOFJSSP,mk03,4,300,NSPSO,819312498,Hypervolume Ratio,0.943896
MOFJSSP,mk03,4,300,NSPSO,562386085,Hypervolume Ratio,0.937639
MOFJSSP,mk03,4,300,NSPSO,287613914,Hypervolume Ratio,0.943131
MOFJSSP,mk03,4,300,NSPSO,755772793,Hypervolume Ratio,0.938404
MOFJSSP,mk03,4,300,MOEA/D-DE,305089489,Hypervolume Ratio,0.952343
MOFJSSP,mk03,4,300,MOEA/D-DE,511812191,Hypervolume Ratio,0.941206
MOFJSSP,mk03,4,300,MOEA/D-DE,608055156,Hypervolume Ratio,0.942736
MOFJSSP,mk03,4,300,MOEA/D-DE,467424509,Hypervolume Ratio,0.947996
MOFJSSP,mk03,4,300,MOEA/D-DE,944441939,Hypervolume Ratio,0.937652
MOFJSSP,mk03,4,300,MOEA/D-DE,414977408,Hypervolume Ratio,0.955675
MOFJSSP,mk03,4,300,MOEA/D-DE,819312498,Hypervolume Ratio,0.942597
MOFJSSP,mk03,4,300,MOEA/D-DE,562386085,Hypervolume Ratio,0.94035
MOFJSSP,mk03,4,300,MOEA/D-DE,287613914,Hypervolume Ratio,0.942383
MOFJSSP,mk03,4,300,MOEA/D-DE,755772793,Hypervolume Ratio,0.93861
MOFJSSP,mk03,4,300,MHACO,305089489,Hypervolume Ratio,0.906574
MOFJSSP,mk03,4,300,MHACO,511812191,Hypervolume Ratio,0.907784
MOFJSSP,mk03,4,300,MHACO,608055156,Hypervolume Ratio,0.921623
MOFJSSP,mk03,4,300,MHACO,467424509,Hypervolume Ratio,0.920667
MOFJSSP,mk03,4,300,MHACO,944441939,Hypervolume Ratio,0.912138
