number of jobs,solver,mean,std,rank
10,IHS,0.9151427000000001,0.024642065096441127,4.0
10,MHACO,0.9070522666666666,0.026027229114423837,5.0
10,MOEA/D-DE,0.8883022666666667,0.02296573563907059,6.0
10,NS-BRKGA,0.9536621333333334,0.007936188726262196,2.0
10,NSGA-II,0.9596420999999999,0.010564861320140128,1.0
10,NSPSO,0.9334771666666666,0.0082172247520946,3.0
15,IHS,0.8747409,0.042570322001771244,6.0
15,MHACO,0.8872327999999999,0.032305958683211636,5.0
15,MOEA/D-DE,0.8970029,0.0419898187350631,4.0
15,NS-BRKGA,0.9208704333333333,0.036293331742121474,2.0
15,NSGA-II,0.9283085999999999,0.03311257067432353,1.0
15,NSPSO,0.9029031,0.04162292986617868,3.0
20,IHS,0.855376,0.04910479752894799,6.0
20,MHACO,0.8595941,0.044504911967914194,5.0
20,MOEA/D-DE,0.8686024,0.04303953733237163,4.0
20,NS-BRKGA,0.914113525,0.05657865419042204,2.0
20,NSGA-II,0.9212146999999999,0.05943119925797413,1.0
20,NSPSO,0.88489275,0.05077379522627288,3.0
30,IHS,0.84321168,0.016228853274011343,6.0
30,MHACO,0.85476772,0.02145421453485902,5.0
30,MOEA/D-DE,0.86124534,0.03311739633030302,4.0
30,NS-BRKGA,0.88951458,0.0351698890739374,2.0
30,NSGA-II,0.90746922,0.03960984574432718,1.0
30,NSPSO,0.8750022,0.024232656655254002,3.0
