number of machines,solver,mean,std,rank
4,IHS,0.8174220999999999,0.004147625838958887,6.0
4,MHACO,0.8438408000000001,0.005246740634802628,5.0
4,MOEA/D-DE,0.8464145999999999,0.01213643114483552,4.0
4,NS-BRKGA,0.8769365,0.002785143174057642,2.0
4,NSGA-II,0.886253,0.0029137753669232994,1.0
4,NSPSO,0.8468081999999999,0.0039737878878694155,3.0
5,IHS,0.8681279,0.04579003118687226,6.0
5,MHACO,0.8729115000000001,0.03647633886074931,5.0
5,MOEA/D-DE,0.8734143,0.03880047962413806,4.0
5,NS-BRKGA,0.9033082,0.050316938490040576,2.0
5,NSGA-II,0.91871485,0.04248354430312125,1.0
5,NSPSO,0.8928575999999999,0.04298135061971339,3.0
6,IHS,0.93158575,0.006469099586536385,4.0
6,MHACO,0.92283425,0.012865315795314091,5.0
6,MOEA/D-DE,0.89419,0.023965735643776274,6.0
6,NS-BRKGA,0.9515119999999999,0.007546437625933584,2.0
6,NSGA-II,0.9567805,0.010154537588269544,1.0
6,NSPSO,0.9374331,0.0052771707122582345,3.0
8,IHS,0.9034003,0.012810849518238427,6.0
8,MHACO,0.9089288,0.009667728414407172,5.0
8,MOEA/D-DE,0.9222970500000001,0.024514145586568545,4.0
8,NS-BRKGA,0.9428373999999999,0.021976424287475885,2.0
8,NSGA-II,0.9493364,0.016527989992736577,1.0
8,NSPSO,0.93095055,0.012354190482223183,3.0
10,IHS,0.83374795,0.035524907901105816,6.0
10,MHACO,0.843400675,0.0371793460138808,5.0
10,MOEA/D-DE,0.850172,0.041021218259422544,4.0
10,NS-BRKGA,0.885059725,0.05211496714783455,2.0
10,NSGA-II,0.8961515500000001,0.056473409836048094,1.0
10,NSPSO,0.8643259750000001,0.04333008228701351,3.0
15,IHS,0.86214285,0.015450853562929006,6.0
15,MHACO,0.8670693999999999,0.01567826461452531,5.0
15,MOEA/D-DE,0.877411625,0.022779094103785227,4.0
15,NS-BRKGA,0.928783525,0.030662845682237167,2.0
15,NSGA-II,0.941383575,0.03364946006873373,1.0
15,NSPSO,0.89928205,0.020534759205758,3.0
