total number of operations,solver,mean,std,rank
55,IHS,0.7956716,0.01291196422960761,6.0
55,MHACO,0.8452021999999999,0.014929068265933043,4.0
55,MOEA/D-DE,0.8074024,0.01017919722003874,5.0
55,NS-BRKGA,0.8841802,0.018291095063506263,2.0
55,NSGA-II,0.9140444000000001,0.015553184634237006,1.0
55,NSPSO,0.8527184999999999,0.016339969816713585,3.0
58,IHS,0.7554031999999999,0.013985493665461637,6.0
58,MHACO,0.7854769,0.03228415858676753,4.0
58,MOEA/D-DE,0.7824001,0.03206222686675953,5.0
58,NS-BRKGA,0.8698669000000001,0.018225738036877673,2.0
58,NSGA-II,0.8992737,0.013920964510406605,1.0
58,NSPSO,0.8116356,0.022360123668908653,3.0
90,IHS,0.6780203,0.013698214093247493,6.0
90,MHACO,0.7733278,0.03314155258818686,5.0
90,MOEA/D-DE,0.8446876,0.014806915225288781,3.0
90,NS-BRKGA,0.8546745,0.011205555549220553,2.0
90,NSGA-II,0.9076502,0.011847114105225067,1.0
90,NSPSO,0.797329,0.01592819551752314,4.0
100,IHS,0.6628587,0.01762715712284125,6.0
100,MHACO,0.7314309999999999,0.027266184995745603,5.0
100,MOEA/D-DE,0.8225423,0.011791643661226016,3.0
100,NS-BRKGA,0.8676354,0.017014739670193145,2.0
100,NSGA-II,0.9113654999999999,0.015064494380643662,1.0
100,NSPSO,0.7471058,0.026781874931461454,4.0
106,IHS,0.6901336,0.011461340664260142,6.0
106,MHACO,0.7553149,0.01853119275677877,4.0
106,MOEA/D-DE,0.8751133,0.02023211064976767,3.0
106,NS-BRKGA,0.899966,0.011213006931436587,2.0
106,NSGA-II,0.9115939000000001,0.016134252545783195,1.0
106,NSPSO,0.754243,0.014198643651967463,5.0
150,IHS,0.6263349,0.030100550389967166,6.0
150,MHACO,0.69986125,0.03397735295422993,5.0
150,MOEA/D-DE,0.7721543,0.08091303686128579,3.0
150,NS-BRKGA,0.8338517,0.041217564482939416,2.0
150,NSGA-II,0.8960528,0.027673162654931874,1.0
150,NSPSO,0.7105431,0.0335752595332682,4.0
179,IHS,0.6990624999999999,0.006944364913766818,6.0
179,MHACO,0.7529542,0.012447685396624273,4.0
179,MOEA/D-DE,0.8872149,0.016127866232428633,2.0
179,NS-BRKGA,0.8389044,0.02097943654152801,3.0
179,NSGA-II,0.9009364,0.016583411934152054,1.0
179,NSPSO,0.7395446,0.007296977764039647,5.0
193,IHS,0.6787581,0.007019637588777469,6.0
193,MHACO,0.7354226,0.011274471726476186,4.0
193,MOEA/D-DE,0.8947095,0.01716309465264222,2.0
193,NS-BRKGA,0.8649153999999999,0.01914147122640029,3.0
193,NSGA-II,0.8959936000000001,0.012827558858437048,1.0
193,NSPSO,0.7258213,0.008032098190662541,5.0
225,IHS,0.7233967,0.006568861765937815,6.0
225,MHACO,0.7779815,0.0132388492555475,4.0
225,MOEA/D-DE,0.9095479000000001,0.01421082809730351,2.0
225,NS-BRKGA,0.890001,0.012014065146041654,3.0
225,NSGA-II,0.9208507000000001,0.01685891903777413,1.0
225,NSPSO,0.7649568,0.006469190208639371,5.0
231,IHS,0.6327316,0.010035951211076654,6.0
231,MHACO,0.7288728,0.02294069817207449,4.0
231,MOEA/D-DE,0.8176895999999999,0.02101049814947012,2.0
231,NS-BRKGA,0.7988896000000001,0.021325221698469843,3.0
231,NSGA-II,0.9111319999999999,0.011271832898374983,1.0
231,NSPSO,0.7075568999999999,0.017543201345060537,5.0
240,IHS,0.6306311499999999,0.021637780692393273,6.0
240,MHACO,0.70833685,0.02695541383816696,4.0
240,MOEA/D-DE,0.8200701,0.03920029468592242,3.0
240,NS-BRKGA,0.84148775,0.035067633241277284,2.0
240,NSGA-II,0.9104039,0.01943619018304718,1.0
240,NSPSO,0.6912850500000001,0.019382158346150813,5.0
277,IHS,0.6565236000000001,0.008152556043624864,6.0
277,MHACO,0.7080968999999999,0.015476550645340066,4.0
277,MOEA/D-DE,0.9010784000000001,0.020310246451811807,1.0
277,NS-BRKGA,0.8193429,0.02885728512467294,3.0
277,NSGA-II,0.8488906,0.01978814625645026,2.0
277,NSPSO,0.6915647,0.00757838813190364,5.0
284,IHS,0.6118449,0.00870000644252637,6.0
284,MHACO,0.6858584,0.015173325894842955,4.0
284,MOEA/D-DE,0.8344175999999999,0.014678185402532264,2.0
284,NS-BRKGA,0.7047285000000001,0.02264320578623482,3.0
284,NSGA-II,0.9051134,0.018196583459539853,1.0
284,NSPSO,0.6565982,0.013343085082210576,5.0
