total number of operations,solver,mean,std,rank
55,IHS,0.01727856,0.0021467625543801733,6.0
55,MHACO,0.011206677,0.0017939970247346196,4.0
55,MOEA/D-DE,0.015036363,0.003937847825607988,5.0
55,NS-BRKGA,0.004799998,0.0005323666416379683,2.0
55,NSGA-II,0.004743708,0.0011127373811042147,1.0
55,NSPSO,0.010731865,0.0018045185453759013,3.0
58,IHS,0.01698483,0.0017568038163096077,6.0
58,MHACO,0.01528401,0.0035147166411627936,5.0
58,MOEA/D-DE,0.01290607,0.002006584867131216,4.0
58,NS-BRKGA,0.004931108,0.000764095930100112,2.0
58,NSGA-II,0.004054134,0.0007769260407557753,1.0
58,NSPSO,0.011927161,0.0020610487228833016,3.0
90,IHS,0.020137330000000002,0.0013473451360607896,6.0
90,MHACO,0.011642511,0.002664438996025868,5.0
90,MOEA/D-DE,0.005334379,0.0018247041320502103,3.0
90,NS-BRKGA,0.0038418939999999998,0.0011320435007660557,2.0
90,NSGA-II,0.002529304,0.0004895032814371909,1.0
90,NSPSO,0.009530001,0.001183502979702863,4.0
100,IHS,0.02172818,0.0019101689179523128,6.0
100,MHACO,0.015100849999999999,0.002416516864437555,5.0
100,MOEA/D-DE,0.0077702679999999994,0.0010127939091422085,3.0
100,NS-BRKGA,0.003649535,0.0013092863541915582,2.0
100,NSGA-II,0.002578768,0.000816721190122771,1.0
100,NSPSO,0.01367729,0.00227762190621417,4.0
106,IHS,0.05581687,0.0031529717139549456,6.0
106,MHACO,0.03922279,0.004162103136489747,4.0
106,MOEA/D-DE,0.014643502999999999,0.0044597035385127715,3.0
106,NS-BRKGA,0.010482927999999999,0.002547481157744297,2.0
106,NSGA-II,0.009035102,0.0028914666638876077,1.0
106,NSPSO,0.039454489999999995,0.0033191960875589544,5.0
150,IHS,0.021841855,0.0016559669325057877,6.0
150,MHACO,0.015516775,0.002224296473961812,5.0
150,MOEA/D-DE,0.008483475,0.0039006349700806135,3.0
150,NS-BRKGA,0.0043833865,0.0009740221013069845,2.0
150,NSGA-II,0.0023794025,0.0005110346372839588,1.0
150,NSPSO,0.013237272,0.0020871740158193756,4.0
179,IHS,0.030491590000000002,0.0011797963463148124,6.0
179,MHACO,0.02198314,0.0018244988536886264,4.0
179,MOEA/D-DE,0.004203405,0.0016080286321611317,1.0
179,NS-BRKGA,0.010327682000000001,0.0029695461525694462,3.0
179,NSGA-II,0.004221648,0.0015528374342817302,2.0
179,NSPSO,0.02396528,0.0011059493285559398,5.0
193,IHS,0.02343098,0.0008683580531350214,6.0
193,MHACO,0.01692529,0.0012019766317288454,4.0
193,MOEA/D-DE,0.002498043,0.0010981494145561432,1.0
193,NS-BRKGA,0.004653461,0.0014546273885733686,3.0
193,NSGA-II,0.0033429639999999995,0.0008082511830310619,2.0
193,NSPSO,0.017958000000000002,0.0008636991670200384,5.0
225,IHS,0.03166899,0.0010936214147399365,6.0
225,MHACO,0.02331367,0.001888639254448675,4.0
225,MOEA/D-DE,0.0072027770000000005,0.0018350673155503347,2.0
225,NS-BRKGA,0.009042993000000001,0.0018222577547710795,3.0
225,NSGA-II,0.0061234869999999995,0.0017902926159836423,1.0
225,NSPSO,0.0251502,0.000952839398849565,5.0
231,IHS,0.02313865,0.0012469285324347974,6.0
231,MHACO,0.013340432,0.001982905619095372,4.0
231,MOEA/D-DE,0.003601299,0.0005066943856551448,2.0
231,NS-BRKGA,0.005855285,0.001338799631097864,3.0
231,NSGA-II,0.0016343739999999999,0.00037020405935105565,1.0
231,NSPSO,0.014994740000000001,0.0016223070966990192,5.0
240,IHS,0.025007295000000002,0.0011462769608721604,6.0
240,MHACO,0.01659289,0.002112912960545726,4.0
240,MOEA/D-DE,0.005484609,0.0012184905721506426,2.0
240,NS-BRKGA,0.005627883,0.0022306818325985582,3.0
240,NSGA-II,0.0023244420000000003,0.0007631190863099456,1.0
240,NSPSO,0.018092820000000003,0.0018482633714125437,5.0
277,IHS,0.02170369,0.000982852801740367,6.0
277,MHACO,0.01595297,0.0015402897217010093,4.0
277,MOEA/D-DE,0.001967263,0.00023903423102374088,1.0
277,NS-BRKGA,0.006272224999999999,0.002041362446304755,3.0
277,NSGA-II,0.004240548,0.0012140960021971537,2.0
277,NSPSO,0.017658570000000002,0.0007884398702501035,5.0
284,IHS,0.01170882,0.0007570133285190931,6.0
284,MHACO,0.0075488529999999995,0.0007400204520004088,4.0
284,MOEA/D-DE,0.0026428399999999996,0.00023671705285236848,2.0
284,NS-BRKGA,0.005753932,0.0009598379668557492,3.0
284,NSGA-II,0.0012153464,0.0001335262957067093,1.0
284,NSPSO,0.008524381000000001,0.0008436172829804606,5.0
