Solver,Time,epsilon,Standard Deviation
nsga2,0.0177038106,0.4828798066666667,0.0643727276719638
nsga2,0.05165999066666667,0.49448274,0.06282755492503365
nsga2,0.08414720133333334,0.5054288266666667,0.06255494160950366
nsga2,0.14685755866666667,0.5258223866666667,0.06405045578185145
nsga2,0.21459206866666666,0.54328306,0.06624297858714573
nsga2,0.31440300666666665,0.5664592866666667,0.06453042010252642
nsga2,0.45042145333333333,0.59132482,0.06422336367835317
nsga2,0.6448748533333334,0.6204853133333333,0.06372315054450205
nsga2,0.91132324,0.6504689733333333,0.060887736430997
nsga2,1.2819377733333333,0.6772224466666666,0.06030460515916821
nsga2,1.7922421266666666,0.7054191333333333,0.05849859747078743
nsga2,2.4983508666666667,0.7255052,0.05847935958664757
nsga2,3.478875866666667,0.74382416,0.058512912521362474
nsga2,4.834400066666666,0.76109412,0.05918726488983814
nsga2,6.711026733333333,0.77761408,0.057620326266465724
nsga2,9.3064616,0.79198814,0.05479002669717284
nsga2,12.899299133333333,0.8083479466666667,0.050818287370911784
nsga2,17.872953333333335,0.8222703733333333,0.046677741413408184
nsga2,24.759731333333335,0.8353677333333334,0.0416867499200268
nsga2,34.30201,0.8473068533333333,0.03771587775652037
nsga2,47.52174866666667,0.8552395733333333,0.03473151318044337
nsga2,65.84223,0.8632668133333333,0.03181220979422472
nsga2,91.23664533333333,0.8699167333333333,0.02953742796499844
nsga2,126.44634,0.8758478533333334,0.028142034184092186
nsga2,175.2783,0.8812169866666667,0.027033771156948563
nsga2,243.01768666666666,0.8864846733333334,0.02630184882839801
nsga2,337.01308,0.8907636466666666,0.025524006782176648
nsga2,467.47201333333334,0.89470976,0.024758390463260636
nsga2,648.5872666666667,0.89915098,0.023930939540860532
nsga2,900.01932,0.90265052,0.02377466321336631
nspso,0.0180352158,0.4828798066666667,0.0643727276719638
nspso,0.056582024,0.49683854666666666,0.06626733059506618
nspso,0.08973236866666667,0.50052418,0.06640662172055216
nspso,0.15202296133333335,0.5066371,0.0663061981307962
nspso,0.22219560666666666,0.5112694133333333,0.0656463381124414
nspso,0.32369464,0.5173507933333333,0.06548759106784853
nspso,0.46006472666666665,0.5247129533333333,0.06604854501751492
nspso,0.65690396,0.5316077866666666,0.06691620121105159
nspso,0.92648902,0.5391655533333334,0.06878365615459665
nspso,1.3009995133333334,0.5474805933333333,0.06987304170255076
nspso,1.8185282666666667,0.5561874266666667,0.07124595940478315
nspso,2.5345641333333333,0.5653192,0.07150491447361638
nspso,3.5260453333333333,0.5751167266666667,0.07152892092867115
nspso,4.896544266666667,0.58314666,0.07352072369321154
nspso,6.79289,0.5948815466666667,0.07459704493225804
nspso,9.416163266666667,0.60556144,0.07776225377983327
nspso,13.047741666666667,0.6158208533333334,0.07661119977994935
nspso,18.073123333333335,0.6245482466666666,0.07615382068730575
nspso,25.027671333333334,0.63544892,0.07723388111813842
nspso,34.655108,0.64580596,0.07542362120242557
nspso,47.98375933333333,0.6564613666666667,0.07356973526789493
nspso,66.438346,0.6655904933333333,0.07192658924579638
nspso,91.99347933333333,0.6765666066666667,0.06979404323786197
nspso,127.3871,0.68630578,0.06495326514671708
