Solver,Time,epsilon,Standard Deviation
nsga2,0.0177038106,0.060548665333333335,0.01823521999529418
nsga2,0.05165999066666667,0.057297662,0.016531271548347107
nsga2,0.08414720133333334,0.054575118666666665,0.015703752746561966
nsga2,0.14685755866666667,0.04981704,0.014534249673838567
nsga2,0.21459206866666666,0.045905828,0.013531144867995237
nsga2,0.31440300666666665,0.04129534,0.012340835501182581
nsga2,0.45042145333333333,0.03660133733333333,0.011029098642274126
nsga2,0.6448748533333334,0.031835904,0.010571392580205131
nsga2,0.91132324,0.027494202666666665,0.010715360194479814
nsga2,1.2819377733333333,0.023934537133333333,0.01035811640921097
nsga2,1.7922421266666666,0.020579709733333333,0.010024729739993493
nsga2,2.4983508666666667,0.018375266266666666,0.009688910600196462
nsga2,3.478875866666667,0.016371807333333332,0.008639648607062617
nsga2,4.834400066666666,0.0145486132,0.007607405214493646
nsga2,6.711026733333333,0.0129211164,0.006851653294212891
nsga2,9.3064616,0.011637895266666667,0.006443700462094816
nsga2,12.899299133333333,0.010240348133333334,0.005917397505847021
nsga2,17.872953333333335,0.0090721838,0.005414844106863508
nsga2,24.759731333333335,0.007990968,0.004746300447695655
nsga2,34.30201,0.007148918933333333,0.004430539338437456
nsga2,47.52174866666667,0.0065976992,0.004207252167274296
nsga2,65.84223,0.006089227,0.00393985471637921
nsga2,91.23664533333333,0.0056504316,0.00371317328633517
nsga2,126.44634,0.0052434378666666665,0.003445326235399535
nsga2,175.2783,0.004883097666666667,0.0031831715998354875
nsga2,243.01768666666666,0.0045441886666666665,0.0028997624931010346
nsga2,337.01308,0.004297082066666667,0.002760308013156692
nsga2,467.47201333333334,0.0040703818,0.0026398452566978544
nsga2,648.5872666666667,0.0037704074,0.0024123421435298604
nsga2,900.01932,0.0035418048266666665,0.0022423257862533986
nspso,0.0180352158,0.060548665333333335,0.01823521999529418
nspso,0.056582024,0.056576332666666666,0.016490237390127265
nspso,0.08973236866666667,0.05558759,0.015720943268554874
nspso,0.15202296133333335,0.05406991133333333,0.014934021848967582
nspso,0.22219560666666666,0.053039418,0.014556530232522617
nspso,0.32369464,0.05164759333333333,0.014318583016882803
nspso,0.46006472666666665,0.050038200666666664,0.013835562763970657
nspso,0.65690396,0.048431922,0.013627040031490635
nspso,0.92648902,0.04682271266666667,0.013476325460536148
nspso,1.3009995133333334,0.045083086,0.013068621811548938
nspso,1.8185282666666667,0.043263449333333336,0.012387496535786684
nspso,2.5345641333333333,0.041438998,0.01168975503198627
nspso,3.5260453333333333,0.03969388533333333,0.011811374804324848
nspso,4.896544266666667,0.038299172666666666,0.011691985822632117
nspso,6.79289,0.03624085133333333,0.011254322607009681
nspso,9.416163266666667,0.034488776666666665,0.01142910041878802
nspso,13.047741666666667,0.03278798,0.01115997838741262
nspso,18.073123333333335,0.031482501333333336,0.011061054749510829
nspso,25.027671333333334,0.029814224,0.010613883499130346
nspso,34.655108,0.028221326,0.010330202696578935
nspso,47.98375933333333,0.026705189333333334,0.009834218429859801
nspso,66.438346,0.02554057066666667,0.00976447390737076
nspso,91.99347933333333,0.024068264,0.009211986971946539
nspso,127.3871,0.022809556,0.009001087730439646
nspso,176.41386666666668,0.021655218,0.00885477808454772
nspso,244.33322,0.020557810666666666,0.008652608857286968
nspso,338.4387,0.019498806333333334,0.008394669894008482
nspso,468.84372666666667,0.01873403766666667,0.008159942601717658
nspso,649.5699333333333,0.017894467600000002,0.008068591843052546
nspso,900.0165,0.017082144133333334,0.007782038210333644
moead,0.018581456333333333,0.060548665333333335,0.01823521999529418
moead,0.04791745866666667,0.057836026666666665,0.016657007568792206
moead,0.07742572866666667,0.055550162666666666,0.015910962226191566
moead,0.13368232733333332,0.05302947533333333,0.014811044459660222
moead,0.19531200066666668,0.05103020133333333,0.01451053007628934
moead,0.28529805333333336,0.049244486,0.01423502086200139
