number of jobs,solver,mean,std,rank
10,IHS,0.7169002666666666,0.08703284820347543,6.0
10,MHACO,0.7681011000000001,0.0757956630591478,4.0
10,MOEA/D-DE,0.7623511666666667,0.05398460021287256,5.0
10,NS-BRKGA,0.8517269,0.04207875918449714,2.0
10,NSGA-II,0.8978331333333334,0.02364530949583914,1.0
10,NSPSO,0.7842742333333333,0.07313566326458357,3.0
15,IHS,0.6737325666666667,0.019452095363922183,6.0
15,MHACO,0.7515803333333333,0.031628754136542994,5.0
15,MOEA/D-DE,0.8556195,0.02343850161262081,3.0
15,NS-BRKGA,0.8737367666666667,0.025072549391967364,2.0
15,NSGA-II,0.9103894666666666,0.015203570616761409,1.0
15,NSPSO,0.7613965333333332,0.03492988238598652,4.0
20,IHS,0.661879425,0.042203084062106294,6.0
20,MHACO,0.73152155,0.037351297628884825,4.0
20,MOEA/D-DE,0.8430576000000001,0.048371530043600806,3.0
20,NS-BRKGA,0.8601529749999999,0.0334764810503162,2.0
20,NSGA-II,0.913256,0.017940948462764988,1.0
20,NSPSO,0.723658175,0.03839198176762326,5.0
30,IHS,0.65578414,0.03248164065111504,6.0
30,MHACO,0.72224098,0.027976170770117503,4.0
30,MOEA/D-DE,0.8670220000000001,0.03857828081568536,2.0
30,NS-BRKGA,0.8053561600000001,0.059560017091786224,3.0
30,NSGA-II,0.8924132,0.027299309408174877,1.0
30,NSPSO,0.7042171399999999,0.031129963575380074,5.0
