total number of operations,solver,mean,std,rank
55,IHS,0.9270269000000001,0.0022991982394835898,5.0
55,MHACO,0.928753,0.006764216140840005,4.0
55,MOEA/D-DE,0.8771036999999999,0.021025433265716802,6.0
55,NS-BRKGA,0.9444811,0.00268494210365886,2.0
55,NSGA-II,0.9478323,0.003149536299203452,1.0
55,NSPSO,0.9348081,0.0032425068645519904,3.0
58,IHS,0.9361446000000001,0.006072677062969109,4.0
58,MHACO,0.9169155,0.015027334532999101,5.0
58,MOEA/D-DE,0.9112762999999999,0.011031876359491695,6.0
58,NS-BRKGA,0.9585429,0.0017787127961284516,2.0
58,NSGA-II,0.9657287,0.005461950853149641,1.0
58,NSPSO,0.9400580999999999,0.005741514772059523,3.0
90,IHS,0.8916605000000001,0.0029371339109940608,6.0
90,MHACO,0.9027445000000001,0.006023034750946665,4.0
90,MOEA/D-DE,0.9006995,0.01398040300047013,5.0
90,NS-BRKGA,0.9218040000000001,0.005862309271950785,2.0
90,NSGA-II,0.9332864000000001,0.0015215923822686059,1.0
90,NSPSO,0.9191191999999999,0.0021821287160324245,3.0
100,IHS,0.9126584,0.003481089459094991,4.0
100,MHACO,0.9070439,0.01402156477596803,6.0
100,MOEA/D-DE,0.9098497,0.010437892742311515,5.0
100,NS-BRKGA,0.9522185000000001,0.0030196345345458813,2.0
100,NSGA-II,0.9600896000000001,0.001627896270241641,1.0
100,NSPSO,0.9345988999999999,0.0049189897664278955,3.0
106,IHS,0.8174220999999999,0.004147625838958887,6.0
106,MHACO,0.8438408000000001,0.005246740634802628,5.0
106,MOEA/D-DE,0.8464145999999999,0.01213643114483552,4.0
106,NS-BRKGA,0.8769365,0.002785143174057642,2.0
106,NSGA-II,0.886253,0.0029137753669232994,1.0
106,NSPSO,0.8468081999999999,0.0039737878878694155,3.0
150,IHS,0.8986983500000001,0.01818458554662803,5.0
150,MHACO,0.8953007,0.02304579761691918,6.0
150,MOEA/D-DE,0.9102107,0.036508474389120305,4.0
150,NS-BRKGA,0.9609166,0.005896334422423197,2.0
150,NSGA-II,0.96537585,0.006504245093742532,1.0
150,NSPSO,0.9341736,0.0103353075904626,3.0
179,IHS,0.8235974,0.0027777230163491037,6.0
179,MHACO,0.8387791,0.004831488531843291,4.0
179,MOEA/D-DE,0.8369789000000001,0.010917637386357933,5.0
179,NS-BRKGA,0.8543979,0.0044432098620004355,2.0
179,NSGA-II,0.8773401,0.0018538256810054948,1.0
179,NSPSO,0.8511162999999999,0.0020011903152318835,3.0
193,IHS,0.8285821999999999,0.0037382192670961617,5.0
193,MHACO,0.8328548,0.012364599178479006,4.0
193,MOEA/D-DE,0.8270761999999999,0.02239643653600077,6.0
193,NS-BRKGA,0.8521940000000001,0.01090943768792264,2.0
193,NSGA-II,0.8654577,0.0011713897776193282,1.0
193,NSPSO,0.8487098,0.0011481616998005378,3.0
225,IHS,0.7786814,0.003084218474751753,6.0
225,MHACO,0.7904339,0.005329666853253268,5.0
225,MOEA/D-DE,0.801433,0.008584744194726397,4.0
225,NS-BRKGA,0.8184467,0.0015434636410071455,2.0
225,NSGA-II,0.8205328,0.0016384922472945567,1.0
225,NSPSO,0.8017169,0.0011442268083246693,3.0
231,IHS,0.8627209,0.004161978734795368,6.0
231,MHACO,0.8843987999999999,0.0065958386679279505,5.0
231,MOEA/D-DE,0.896011,0.01029731597175801,4.0
231,NS-BRKGA,0.9360845,0.0027393582480411877,2.0
231,NSGA-II,0.9559526,0.003488659889158332,1.0
231,NSPSO,0.9086592,0.004552228021041478,3.0
240,IHS,0.8650821000000001,0.004153459267190478,6.0
240,MHACO,0.8704493,0.011513924184038647,5.0
240,MOEA/D-DE,0.88156345,0.016398628567417018,4.0
240,NS-BRKGA,0.94289445,0.010595376114011663,2.0
240,NSGA-II,0.9521181999999999,0.01056574259526869,1.0
240,NSPSO,0.9016276,0.006574527186521877,3.0
277,IHS,0.8420962,0.00372836263734573,6.0
277,MHACO,0.8498484,0.012970172955241952,5.0
277,MOEA/D-DE,0.8498992,0.018464433846963436,4.0
277,NS-BRKGA,0.8828474,0.001918691174270138,2.0
277,NSGA-II,0.8851967000000001,0.001759654135839705,1.0
277,NSPSO,0.8711403000000001,0.0012927775481067281,3.0
284,IHS,0.8590617,0.003511973236104056,6.0
284,MHACO,0.8679574999999999,0.010233060400812009,5.0
284,MOEA/D-DE,0.8962614,0.01017863293811547,3.0
284,NS-BRKGA,0.9220491000000001,0.005602943540874068,2.0
284,NSGA-II,0.9533989999999999,0.0067294868386163715,1.0
284,NSPSO,0.8953854,0.0055208107335386536,4.0
