solver,mean,std,rank
IHS,0.024519119333333332,0.009785424107785056,6.0
MHACO,0.0170493682,0.007367088822675984,4.0
MOEA/D-DE,0.007049491866666666,0.0047211663814683115,3.0
NS-BRKGA,0.005975572,0.0026911470475841355,2.0
NSGA-II,0.0035418048266666665,0.002242325786253399,1.0
NSPSO,0.017082144133333334,0.007782038210333643,5.0
