0 0.039939 7 14 21
1 0.0778462 10 7 15
2 0.114341 12 7 11
4 0.189176 16 14 16
7 0.300376 9 10 22
11 0.448518 13 32 15
16 0.645023 28 41 15
24 0.941271 14 36 37
35 1.35432 30 72 44
50 1.92967 113 96 81
78 2.73933 92 166 160
120 3.86064 147 151 151
179 5.43532 104 159 156
258 7.64885 157 151 140
374 10.7753 156 155 146
539 15.1797 149 150 136
784 21.3626 150 151 139
1128 30.0576 150 150 150
1613 42.2761 152 151 150
2298 59.4578 151 147 150
3243 83.6367 150 151 150
4612 117.631 150 151 153
6543 165.438 150 150 150
9259 232.679 150 150 150
13068 327.249 150 150 150
19229 460.229 150 150 150
26915 647.239 150 152 150
37663 910.21 151 150 150
52636 1280.02 151 150 150
73460 1800.02 155 150 150
