0,0.00676016,0.890143
1,0.0229125,0.810522
2,0.0394162,0.596444
3,0.056952,0.544735
4,0.074254,0.453841
5,0.0921563,0.453841
6,0.110407,0.352321
8,0.145668,0.352321
10,0.180517,0.311692
12,0.214353,0.276
15,0.264541,0.225202
18,0.315304,0.192732
22,0.384456,0.178484
26,0.453511,0.177531
31,0.539437,0.166217
37,0.644759,0.166217
44,0.76604,0.156056
52,0.90058,0.141349
61,1.05349,0.139543
72,1.24247,0.13324
84,1.45304,0.112597
98,1.7008,0.112597
115,1.99987,0.11215
135,2.35114,0.104995
158,2.75101,0.104995
185,3.21046,0.0712053
217,3.75366,0.0706938
254,4.3832,0.0704053
297,5.12462,0.0687438
347,5.99263,0.0684551
405,7.0027,0.06796
472,8.16945,0.0679039
549,9.53719,0.0677458
639,11.1358,0.0669867
744,12.9877,0.0660267
866,15.1523,0.0629106
1008,17.6647,0.0626464
1173,20.5928,0.0626178
1366,24.0177,0.0626178
1590,28.0139,0.0579483
1854,32.6679,0.0562886
2160,38.083,0.054269
2516,44.4032,0.0542648
2931,51.7656,0.0542648
3415,60.3496,0.0542648
3981,70.3483,0.054216
4635,81.9966,0.054216
5399,95.5761,0.054216
6290,111.393,0.0530455
7328,129.82,0.0529699
8534,151.308,0.0529699
9941,176.353,0.0529699
11584,205.535,0.0416574
13513,239.53,0.0414189
15754,279.151,0.0414189
18334,325.323,0.0414189
21328,379.124,0.0414189
24787,441.821,0.0414189
28824,514.879,0.0414189
33495,600.005,0.0414189
