0,0.0224957,0.00381422
1,0.0657972,0.00320525
2,0.10695,0.00320525
4,0.187347,0.00250397
6,0.270143,0.00242089
9,0.399029,0.00230619
14,0.583697,0.00177872
23,0.847777,0.00132364
36,1.23042,0.00101085
54,1.76133,0.000960561
80,2.51871,0.000839084
117,3.5833,0.000618502
169,5.0661,0.00047436
242,7.15849,0.000425271
346,10.1267,0.000369697
492,14.3143,0.000306709
696,20.2216,0.000268581
988,28.5748,0.000219005
1302,40.3915,0.000205963
1689,57.0546,0.000191632
2233,80.5945,0.000189565
3005,113.829,0.000166764
4089,160.75,0.000151203
5608,227.036,0.000148625
7748,320.605,0.000141523
10766,452.733,0.000114904
15019,639.334,9.44346e-05
21046,902.828,6.2366e-05
29492,1274.86,4.4888e-05
41507,1800.04,4.37427e-05
